# Optical constants for Co created by PTB
# Reconstructed from reflection measurements in the wavelength range 8 - 25 nm
# 40 nm Co thin film in a multilayer on Si (C/ Co/ Ru/ Si) (measured 4/2022)
# n = (1-delta) - (i*beta)
# The values are provided with their 3-sigma uncertainty bounds. HB: Higher Bound. LB: Lower Bound.
#lambda/nm	1-delta	beta	1-delta_LB	1-delta_HB	beta_LB	beta_HB
# ------------------------
20.6	1.03201	0.16776	1.02992	1.03416	0.16638	0.16904
20.62	1.0333	0.16662	1.03102	1.03557	0.16535	0.16805
20.64	1.03462	0.16545	1.0324	1.03674	0.16406	0.16674
20.66	1.03602	0.16442	1.03369	1.0382	0.16304	0.16579
20.68	1.03748	0.16343	1.03533	1.0397	0.16198	0.1648
20.7	1.03906	0.16176	1.03681	1.0412	0.16027	0.16318
20.72	1.04069	0.16037	1.03847	1.04282	0.15899	0.16167
20.74	1.04244	0.15855	1.04013	1.04455	0.15714	0.16001
20.76	1.04391	0.15698	1.04184	1.04598	0.15557	0.15838
20.78	1.04562	0.15509	1.04345	1.04782	0.15357	0.15647
20.8	1.04716	0.15296	1.04501	1.04942	0.15146	0.15452
20.82	1.04867	0.1502	1.04657	1.05081	0.14879	0.15162
20.84	1.04987	0.14787	1.04779	1.05201	0.1464	0.14934
20.86	1.05106	0.14514	1.04905	1.0532	0.14352	0.14657
20.88	1.05205	0.14209	1.05	1.05396	0.14052	0.14363
20.9	1.05278	0.1393	1.05078	1.05473	0.13775	0.14081
20.92	1.05347	0.13649	1.05155	1.05553	0.13495	0.13797
20.94	1.05369	0.13341	1.05179	1.05568	0.13178	0.13491
20.96	1.0539	0.13059	1.05191	1.05595	0.129	0.13202
20.98	1.05389	0.12756	1.05198	1.05589	0.12608	0.12899
21.0	1.05377	0.12452	1.05195	1.05558	0.12309	0.12596
21.02	1.05369	0.12163	1.0518	1.0556	0.12015	0.123
21.04	1.05348	0.11896	1.05173	1.05533	0.11757	0.1204
