# Optical constants for amorphous SiO2 created by PTB
# Reconstructed from reflection measurements in the wavelength range 5.0 - 24.5 nm
# 50 nm amorphous SiO2 thin film on Si  (measured 2024)
# n = (1-delta) - (i*beta)
# Citation: Q. Saadeh, V. Philipsen, J. Meersschaut, V. S. K. Channam, K.-A. Kantre, A. Sokolov, B. Kupper, T. Wiesner, D. O. García, Z. Salami, C. Buchholz, F. Scholze, and V. Soltwisch, "Optical constants of TiN, amorphous SiO2, and SiN in the extreme ultraviolet range," Appl. Opt. 63(36), 9210-9222 (2024).
# The values are provided with their 3-sigma uncertainty bounds. HB: Higher Bound. LB: Lower Bound.
#lambda/nm	1-delta	beta	1-delta_LB	1-delta_HB	beta_LB	beta_HB
# ------------------------
11.86	0.98719	0.00732	0.98728	0.9871	0.00716	0.0075
11.87	0.98693	0.00733	0.98702	0.98684	0.00717	0.0075
11.88	0.98668	0.00733	0.98677	0.98658	0.00716	0.0075
11.89	0.98646	0.00735	0.98655	0.98636	0.00718	0.00753
11.9	0.98624	0.00738	0.98634	0.98615	0.00721	0.00756
11.91	0.98604	0.00741	0.98614	0.98595	0.00724	0.00758
11.92	0.98587	0.00744	0.98596	0.98578	0.00727	0.00762
11.93	0.98569	0.00745	0.98579	0.98559	0.00728	0.00764
11.94	0.98552	0.00745	0.98561	0.98543	0.00728	0.00764
11.95	0.98534	0.00745	0.98544	0.98524	0.00728	0.00765
11.96	0.98518	0.00747	0.98527	0.98507	0.00729	0.00764
11.97	0.98501	0.0075	0.98511	0.98491	0.00731	0.00769
11.98	0.98487	0.00756	0.98497	0.98477	0.00738	0.00776
11.99	0.98475	0.00763	0.98484	0.98464	0.00745	0.00782
12.0	0.98465	0.00769	0.98475	0.98455	0.00751	0.00789
12.01	0.98453	0.0077	0.98463	0.98443	0.00752	0.0079
12.02	0.98441	0.00767	0.9845	0.98431	0.0075	0.00786
12.03	0.98425	0.00765	0.98435	0.98415	0.00747	0.00783
12.04	0.98412	0.00768	0.98422	0.98401	0.0075	0.00788
12.05	0.98399	0.00774	0.98409	0.98389	0.00756	0.00793
12.06	0.98389	0.00782	0.98399	0.9838	0.00764	0.00801
12.07	0.98381	0.00787	0.98391	0.98371	0.0077	0.00807
12.08	0.98372	0.00786	0.98382	0.98362	0.00767	0.00805
12.09	0.9836	0.00782	0.9837	0.9835	0.00764	0.008
12.1	0.98345	0.00779	0.98356	0.98335	0.00761	0.00797
12.2	0.98256	0.00882	0.98266	0.98247	0.00865	0.00899
12.3	0.98202	0.00911	0.98211	0.98194	0.00895	0.00927
12.4	0.98122	0.00926	0.98131	0.98113	0.00909	0.00942
12.5	0.98042	0.00915	0.98052	0.98032	0.00897	0.00933
12.6	0.97977	0.00952	0.97987	0.97967	0.00934	0.00972
12.7	0.97914	0.00966	0.97924	0.97902	0.00946	0.00987
12.8	0.97855	0.00995	0.97866	0.97843	0.00973	0.01017
12.9	0.97798	0.0102	0.9781	0.97786	0.00998	0.01042
13.0	0.97744	0.01048	0.97756	0.97732	0.01026	0.01073
13.1	0.97691	0.01076	0.97702	0.97678	0.01052	0.011
13.2	0.97639	0.01106	0.97652	0.97627	0.01081	0.01131
13.3	0.97589	0.01134	0.97601	0.97576	0.01109	0.01161
13.4	0.9754	0.01164	0.97554	0.97526	0.01137	0.01192
13.5	0.97492	0.01193	0.97506	0.97479	0.01165	0.01221
13.6	0.97446	0.01222	0.97461	0.97432	0.01194	0.01251
13.7	0.97401	0.01252	0.97415	0.97387	0.01223	0.01282
13.8	0.97357	0.01282	0.97372	0.97342	0.01252	0.01314
13.9	0.97314	0.01313	0.97329	0.97299	0.01281	0.01345
14.0	0.97271	0.01344	0.97287	0.97256	0.01314	0.01377
14.1	0.97229	0.01374	0.97245	0.97213	0.01342	0.01407
14.2	0.97187	0.01405	0.97204	0.97171	0.01371	0.01439
14.3	0.97146	0.01435	0.97163	0.97129	0.01401	0.01469
14.4	0.97104	0.01465	0.97121	0.97086	0.0143	0.01499
14.5	0.97062	0.01495	0.9708	0.97044	0.0146	0.01532
14.6	0.9702	0.01526	0.97038	0.97002	0.0149	0.01563
14.7	0.96978	0.01557	0.96996	0.9696	0.0152	0.01594
14.8	0.96937	0.01586	0.96956	0.96918	0.01549	0.01625
14.9	0.96896	0.01617	0.96915	0.96876	0.01578	0.01657
15.0	0.96855	0.0165	0.96874	0.96835	0.0161	0.01691
15.5	0.96645	0.01793	0.96665	0.96624	0.01747	0.01836
16.0	0.9644	0.01934	0.96463	0.96417	0.01886	0.01982
16.5	0.96231	0.02091	0.96255	0.96204	0.0204	0.02144
17.0	0.96008	0.02258	0.96035	0.9598	0.02204	0.0231
17.5	0.95777	0.02464	0.95807	0.95746	0.02407	0.02521
18.0	0.95541	0.02664	0.95573	0.95509	0.02597	0.02728
18.5	0.953	0.02841	0.95334	0.95267	0.02767	0.02914
19.0	0.95072	0.03044	0.95109	0.95036	0.02967	0.03121
19.5	0.94851	0.03259	0.94891	0.94811	0.03181	0.03335
20.0	0.94635	0.03497	0.94678	0.94592	0.03418	0.03574
20.5	0.94416	0.03764	0.94461	0.94371	0.03684	0.03847
21.0	0.942	0.04076	0.94248	0.94149	0.03992	0.0416
21.5	0.93996	0.04413	0.94047	0.93944	0.04321	0.04508
22.0	0.9378	0.04683	0.93839	0.93724	0.04578	0.04788
22.5	0.93559	0.04869	0.93622	0.93497	0.04752	0.0499
23.0	0.9336	0.05093	0.93425	0.93296	0.04965	0.05213
23.5	0.93176	0.05341	0.93242	0.93111	0.05218	0.05471
24.0	0.92993	0.05629	0.93063	0.9292	0.05497	0.05757
24.5	0.92812	0.05921	0.9289	0.92741	0.05795	0.06052
